text,source,timestamp,domain
"Why scientists fear Emperor penguins' annual moult may be killing them","BBC","2026-03-01","environment"
"Utterly devastating wildfire shows we need to be more prepared","BBC","2026-02-28","environment"
"UK puffins in peril as winter storms threaten mass seabird 'wreck'","BBC","2026-02-21","environment"
"Supreme Court closes suo motu case on polluted rivers after five years of near inaction","The Hindu","2026-02-24","environment"
"Climate change could restrict habitat availability for Western Ghats birds such as The Nilgiri Wood Pigeon, warn researchers","The Hindu","2026-02-28","environment"
"India among four nations driving most global pesticide toxicity: study","The Hindu","2026-02-22","environment"
"Hollowing out the hills: how real estate boom is impacting Nilgiris","The Hindu","2026-02-22","environment"
"U.S. energy chief says IEA must 'drop' focus on climate change","The Hindu","2026-02-18","environment"
"Winter getting shorter in 80% of major US cities, new data shows","The Guardian","2026-02-27","environment"
"Tropical plants flowering months earlier or later because of climate crisis – study","The Guardian","2026-02-25","environment"
"Injecting particulates into the atmosphere isn’t a magical fix for the climate crisis : Mike Hulme","The Guardian","2026-02-20","environment"
"Climate change contributed to high winter AQI in city","The Times of India","2026-02-22","environment"
"Almond and fruit blossoms hit Kashmir early: Why Kashmir's fruits are flowering in February?","The Times of India","2026-02-25","environment"
"Climate change threatens coffee yields as India logs 30 additional hot days a year","The Times of India","2026-02-19","environment"
"Antarctica to face rains: How will it impact the icy continent?","The Times of India","2026-02-25","environment"
"With No Festivals or Elections Ahead, Yamuna's Foam Becomes a Non-Story","The Quint","2026-02-23","environment"
"As 2 Degree Warning stares at us, India must invest in climate adaptation to shield its economy","Mint","2026-02-18","environment"
"Ocean temperature patterns play key role in limiting spread of droughts worldwide: Study","Deccan Herald","2026-02-23","environment"
"The battle to save South America’s skull-crushing big cat","The Economist","2026-02-16","environment"
"'It's overwhelming': Plastic from 1960s Canada washes up on Orkney beach","BBC","2026-02-18","environment"
"Limiting warming to 2C is ‘crucial’ to protect pristine Antarctic Peninsula","Carbon Brief","2026-02-20","environment"
"Ma Jun: ‘No business interest’ in Chinese coal power due to cheaper renewables ","Carbon Brief","2026-02-19","environment"
"Dangerous heat for Tour de France riders only a ‘question of time’","Carbon Brief","2026-02-24","environment"
"ACs on fire, phones overheating: Will 2026 be a repeat of the summer of 2024?","India Today","2026-02-28","environment"
"India's monsoon will worsen: Ocean's salt could be making El Nino stronger","India Today","2026-02-25","environment"
"Ganga river delta sinking faster than the seas are rising: Why it's worrying","India Today","2026-02-20","environment"
"Trucks are just 3% of India's vehicles, but produce over 50% of road emissions","India Today","2026-02-27","environment"
"Temperature crosses 30ºC mark in mid-February: Will 2026 be hotter than 2025?","India Today","2026-02-17","environment"
"Climate change has tripled the days ideal for raging wildfires","India Today","2026-02-20","environment"
"New York buried under snow: What is fuelling the bomb cyclone battering the US?","India Today","2026-02-24","environment"
"Cities may heat up disproportionately faster than rural neighbours, even at 2°C warming","Mongabay","2026-02-20","environment"
"Pre-monsoon storms intensify with thunder and flash floods","Mongabay","2026-02-24","environment"
"Young people anxious about climate change, environment and economic insecurity; protests by youth on these issues increasing: SOE 2026 report","Down To Earth","2026-02-27","environment"
"Ocean carbon blindspot could hamper climate change mitigation and adaptation: UNESCO Report","Down To Earth","2026-02-25","environment"
"The highly salty Southern Indian Ocean is getting fresher due to global warming: Study","Down To Earth","2026-02-20","environment"
"SOE 2026: India is warming fast. Will it lead to a climate apocalypse?","Down To Earth","2026-02-26","environment"
"Amid ongoing global mass coral bleaching, scientists discover thriving coral reef in Lakshadweep","Down To Earth","2026-02-19","environment"
"Amazon released up to 170 million tonnes of carbon during 2023 drought, study finds","Down To Earth","2026-02-19","environment"
"Rajasthan farmers fear wheat losses as February temperatures surge 5-6°C above normal","Down To Earth","2026-02-16","environment"
"Air pollution causing 16 times more deaths each year than COVID-19: Sanjeev Bagai at AAD 2026","Down To Earth","2026-02-26","environment"
"India braces for hotter-than-normal summer, more heatwave days expected","Down To Earth","2026-02-28","environment"
"North Dakota judge finalizes $345 million judgment against Greenpeace in pipeline case","Reuters","2026-02-28","environment"
"How 200-year-old tea leaves could help breed climate-resilient tea","Reuters","2026-02-24","environment"
